job_role,skills
Data Scientist,"Python, SQL, Machine Learning, Statistics, Data Analysis, Pandas, NumPy, Data Visualization"
Machine Learning Engineer,"Python, TensorFlow, PyTorch, Machine Learning, Deep Learning, Statistics, Model Deployment, Docker"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Linux, Automation, Jenkins, Networking"
Cloud Architect,"AWS, Azure, Cloud Computing, Networking, Automation, Terraform, Security, System Design"
Backend Developer,"Java, Python, SQL, APIs, Node.js, Databases, REST, System Design"
Frontend Developer,"JavaScript, React, HTML, CSS, UI/UX, TypeScript, Responsive Design, Git"
Full Stack Developer,"JavaScript, React, Node.js, SQL, APIs, HTML, CSS, Git, MongoDB"
Data Analyst,"SQL, Excel, Python, Data Visualization, Statistics, Power BI, Data Cleaning"
Cybersecurity Analyst,"Networking, Security, Linux, Python, Risk Assessment, Firewalls, Penetration Testing"
Database Administrator,"SQL, Database Design, Backup Recovery, Performance Tuning, Oracle, MySQL, Security"
Mobile App Developer,"Java, Kotlin, Swift, Flutter, Mobile UI, APIs, Git, Firebase"
QA/Test Engineer,"Test Automation, Selenium, Manual Testing, Python, Bug Tracking, CI/CD, API Testing"
Systems Administrator,"Linux, Windows Server, Networking, Automation, Scripting, Security, Virtualization"
AI Research Engineer,"Python, Machine Learning, Deep Learning, Research, Statistics, PyTorch, NLP, Mathematics"
Business Intelligence Analyst,"SQL, Power BI, Data Visualization, Excel, Statistics, ETL, Data Warehousing"
Network Engineer,"Networking, Security, Routing, Switching, Firewalls, Linux, Automation"
Game Developer,"C++, Unity, C#, Game Design, 3D Graphics, Physics, Git"
Embedded Systems Engineer,"C, C++, Microcontrollers, Arduino, Embedded Linux, Hardware, Debugging"
UI/UX Designer,"UI/UX, Figma, Prototyping, User Research, Wireframing, Design Systems, HTML, CSS"
Site Reliability Engineer,"Linux, Automation, Kubernetes, Monitoring, CI/CD, Python, System Design, Networking"
